"status_id","permalink","post_type","sharetext","headline","link","full_picture","created_time","date","hour","page_total_likes","page_new_likes","post_impressions","post_reach","post_reach_fan_unique","post_reach_viral_unique","comments_on_post","likes_on_post","shares_on_post","total_comments","total_likes","total_shares","comments_on_shares","likes_on_shares","shares_on_shares","link_clicks","photo_view","video_play","other_clicks","post_negative_feedback","post_story_adds","post_stories","post_storytellers","post_consumptions","post_engaged_users","post_engaged_fan","post_video_complete_views_30s_autoplayed","post_video_complete_views_30s_clicked_to_play","post_video_complete_views_30s_organic","post_video_complete_views_30s_paid","post_video_complete_views_30s_unique","post_video_avg_time_watched","post_video_complete_views_organic_unique","post_video_length","post_video_views","post_video_views_autoplayed","post_video_views_clicked_to_play","post_video_views_10s_unique","post_video_views_10s_autoplayed","post_video_views_10s_clicked_to_play","post_video_views_10s_sound_on","post_video_views_sound_on","s0","s1","s2","s3","s4","s5","s6","s7","s8","s9","s10","s11","s12","s13","s14","s15","s16","s17","s18","s19","s20","s21","s22","s23","s24","s25","s26","s27","s28","s29","s30","s31","s32","s33","s34","s35","s36","s37","s38","s39","s40"
"1405630409737397_1823362197964214","https://www.facebook.com/1405630409737397_1823362197964214","photo","<f0><U+009F><U+0098><U+008D> The Dole Whip with Tajín!","","https://www.facebook.com/wearemitu/photos/a.1405639273069844.1073741828.1405630409737397/1823361937964240/?type=3","https://scontent.xx.fbcdn.net/v/t1.0-9/p720x720/21078472_1823361937964240_7986842264530611963_n.jpg?oh=787b758510a56d0b9146a0014ba7897e&oe=5A1820ED","2017-08-27 21:00:00","2017-08-27","21:00","3640100","1963","667242","490685","410062","74742","704","7344","406","1338","7807","407","634","463","1","16","12169","0","9314","38","9552","9552","8832","21499","23888","20700","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1405630409737397_1821708801462887","https://www.facebook.com/1405630409737397_1821708801462887","link","I did not see that coming! ?","Lin-Manuel Miranda Stripped Down In A Crosswalk to Give The Audience And Authentic Performance","https://wearemitu.com/entertainment/lin-manuel-miranda-and-james-corden-stopped-traffic-while-performing-hair-in-a-crosswalk/","https://scontent.xx.fbcdn.net/v/t45.1600-4/18508216_6094215144726_1220832732922249216_n.png?oh=2d28b7b717390a216b770035276fd461&oe=5A20A7E6","2017-08-27 20:00:00","2017-08-27","20:00","3640100","1963","113164","78045","74773","464","3","79","11","4","100","12","1","21","1","542","148","0","294","6","116","116","108","984","958","875","1","0","1","0","1","0","1","0","3","3","0","1","1","0","0","0","0","1","0.5","0","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0","0","0"
"1405630409737397_1823287744638326","https://www.facebook.com/1405630409737397_1823287744638326","photo","God no.","","https://www.facebook.com/wearemitu/photos/a.1405639273069844.1073741828.1405630409737397/1823287661305001/?type=3","https://scontent.xx.fbcdn.net/v/t1.0-9/p720x720/21077332_1823287661305001_2144854380175081068_n.jpg?oh=4c0ccfc45948572ad61bb102fca2837c&oe=5A1F880A","2017-08-27 19:00:00","2017-08-27","19:00","3640100","1963","497122","339423","276273","65042","522","5424","947","1180","6934","960","658","1510","13","29","1523","0","3542","37","9074","9074","8027","5094","10506","8122","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1405630409737397_1823279421305825","https://www.facebook.com/1405630409737397_1823279421305825","photo","These are so bomb.","","https://www.facebook.com/wearemitu/photos/a.1405639273069844.1073741828.1405630409737397/1823279201305847/?type=3","https://scontent.xx.fbcdn.net/v/t1.0-9/p720x720/21106554_1823279201305847_4916938842552070028_n.jpg?oh=4da8c37568bd9a17f7fcc97731518046&oe=5A26E56A","2017-08-27 18:00:00","2017-08-27","18:00","3640100","1963","335733","225924","197403","24936","320","2609","210","580","2840","214","260","231","4","10","1038","0","3193","16","3634","3634","3391","4241","6070","5361","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1405630409737397_1822001924766908","https://www.facebook.com/1405630409737397_1822001924766908","link","This song is popping, y'all.","If This Single Is Any Indicator, Kali Uchis New Album Is Going To Be Lit","https://wearemitu.com/entertainment/kali-uchis-has-released-a-new-spanish-language-single-nuestro-planeta/","https://scontent.xx.fbcdn.net/v/t45.1600-4/20864955_6094233626526_334193617209917440_n.png?oh=d3e08a0961b29b472826148e3a3fd153&oe=5A21ECA9","2017-08-27 16:00:00","2017-08-27","16:00","3640100","1963","96507","64839","62335","247","2","94","10","3","102","10","1","8","0","281","54","0","343","9","115","115","106","678","660","635","100","13","113","0","113","0","16","0","311","296","15","178","164","14","91","115","0.5506","1","0.7453","0.6292","0.5468","0.4794","0.4419","0.4232","0.412","0.382","0.3596","0.3371","0.3034","0.2772","0.2472","0.221","0.206","0.1835","0.1648","0.1536","0.1461","0.1386","0.1348","0.1273","0.1273","0.1273","0.1273","0.1124","0.1049","0.1049","0.0861","0.0861","0.0824","0.0787","0.0749","0.0749","0.0674","0.0637","0.0562","0.0412","0.0187"
"1405630409737397_1823218724645228","https://www.facebook.com/1405630409737397_1823218724645228","video","For all the proud nalgonas <3","Fierce by mitú","https://www.facebook.com/fiercebymitu/videos/1886370928281605/","https://scontent.xx.fbcdn.net/v/t15.0-10/p720x720/21154961_1886411274944237_33343656479948800_n.jpg?oh=1a3a9b60973804b9f09e7b5d38cf8216&oe=5A2C3D32","2017-08-27 15:01:00","2017-08-27","15:01","3640100","1963","710858","468249","453168","18384","46","2163","0","76","2225","0","30","62","0","102","52","3","19760","34","2301","2301","2276","19917","18128","17455","0","0","0","0","0","0","0","150526","122389","119499","2890","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1405630409737397_1823097461324021","https://www.facebook.com/1405630409737397_1823097461324021","video","Happy 'Game of Thrones' Day!","","https://www.facebook.com/wearemitu/videos/1823097461324021/","https://scontent.xx.fbcdn.net/v/t15.0-10/p720x720/21154884_1823097911323976_5195659231172231168_n.jpg?oh=98d8ebb290e222199f5946083cafcd47&oe=5A1ACAD0","2017-08-27 14:00:00","2017-08-27","14:00","3640100","1963","1690796","1100288","913230","169047","4814","3673","1258","7054","4511","1277","2240","838","19","40","410","9181","31000","82","12842","12842","10826","40631","32378","26265","11259","876","12135","0","12078","3570","11942","28862","228619","220711","7908","68162","63334","5841","30935","62315","0.5249","1","0.9879","0.9619","0.8237","0.6855","0.5684","0.4763","0.413","0.3716","0.3316","0.2984","0.2707","0.2316","0.2067","0.1866","0.1718","0.154","0.1403","0.1288","0.1171","0.1075","0.098","0.0897","0.0806","0.0752","0.0697","0.0659","0.0612","0.058","0.0547","0.051","0.0172","","","","","","","",""
"1405630409737397_1821748971458870","https://www.facebook.com/1405630409737397_1821748971458870","link","Lmao the video with 'The Notebook' has me dying.","Guacardo Is The Dancing Avocado Breathing New Life Into Classic Movies And Music Videos And It's Funny AF","https://wearemitu.com/comedy/people-on-the-internet-are-obsessed-with-these-guacardo-parodies/","https://scontent.xx.fbcdn.net/v/t45.1600-4/21012471_6094218469126_1846925938319687680_n.png?oh=ee3c16be6dff375dd986f0aa1df828b7&oe=5A228162","2017-08-27 13:00:00","2017-08-27","13:00","3640100","1963","93837","63670","60767","672","24","132","22","44","138","22","20","6","0","591","16","0","509","10","204","204","166","1116","993","939","0","0","0","0","0","0","0","0","6","6","0","0","0","0","0","0","0.3333","1","0.5","0.1667","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1405630409737397_1823095891324178","https://www.facebook.com/1405630409737397_1823095891324178","photo","<f0><U+009F><U+0098><U+00A1>","","https://www.facebook.com/wearemitu/photos/a.1405639273069844.1073741828.1405630409737397/1823095721324195/?type=3","https://scontent.xx.fbcdn.net/v/t1.0-9/p720x720/21149968_1823095721324195_7201370730623692532_n.jpg?oh=d33ef71bc14189a58a4958d6daaef889&oe=5A146184","2017-08-27 12:00:00","2017-08-27","12:00","3640100","1963","1516046","964615","589562","392356","2079","21576","4570","4445","30425","4659","2366","8849","89","48","6885","0","12757","80","39529","39529","35079","19690","45116","31426","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1405630409737397_1823054717994962","https://www.facebook.com/1405630409737397_1823054717994962","link","“Most people think doing a mural is super glamorous and stylish, but it’s hard, dirty work here in TJ.”","Fierce by mitú","https://fierce.wearemitu.com/decor-get-inspired/binational-artist-panca-creates-colorful-monsters-on-both-sides-of-the-border/","https://external.xx.fbcdn.net/safe_image.php?d=AQDtQkreoOZo2hKD&url=https%3A%2F%2Fdd2d9j2i66w9u.cloudfront.net%2Fwp-content%2Fuploads%2Fsites%2F2%2F2017%2F08%2F23172104%2FScreen-Shot-2017-08-23-at-10.27.20-AM.png&_nc_hash=AQBxete_4tgwx9ed","2017-08-27 11:00:01","2017-08-27","11:00","3640100","1963","31213","21987","21400","22","0","30","0","0","31","0","0","1","0","43","28","0","148","1","31","31","29","219","208","203","4","0","4","0","4","0","1","0","64","62","2","20","18","2","10","17","0.5156","1","0.6563","0.375","0.2031","0.1563","0.1406","0.1406","0.1094","0.1094","0.0625","0.0625","0.0781","0.0469","0.0469","0.0469","0.0781","0.0625","0.0469","0.0469","0.0469","0.0625","0.0469","0.0313","0.0313","0.0313","0.0313","0.0313","0.0469","0.0313","0.0313","0.0156","0.0156","0.0156","0.0313","0.0313","0.0313","0.0156","0.0156","0.0156","0.0156"
