"status_id","permalink","post_type","sharetext","headline","link","full_picture","created_time","date","hour","page_total_likes","page_new_likes","post_impressions","post_reach","post_reach_fan_unique","post_reach_viral_unique","comments_on_post","likes_on_post","shares_on_post","total_comments","total_likes","total_shares","comments_on_shares","likes_on_shares","shares_on_shares","link_clicks","photo_view","video_play","other_clicks","post_negative_feedback","post_story_adds","post_stories","post_storytellers","post_consumptions","post_engaged_users","post_engaged_fan","post_video_complete_views_30s_autoplayed","post_video_complete_views_30s_clicked_to_play","post_video_complete_views_30s_organic","post_video_complete_views_30s_paid","post_video_complete_views_30s_unique","post_video_avg_time_watched","post_video_complete_views_organic_unique","post_video_length","post_video_views","post_video_views_autoplayed","post_video_views_clicked_to_play","post_video_views_10s_unique","post_video_views_10s_autoplayed","post_video_views_10s_clicked_to_play","post_video_views_10s_sound_on","post_video_views_sound_on","s0","s1","s2","s3","s4","s5","s6","s7","s8","s9","s10","s11","s12","s13","s14","s15","s16","s17","s18","s19","s20","s21","s22","s23","s24","s25","s26","s27","s28","s29","s30","s31","s32","s33","s34","s35","s36","s37","s38","s39","s40"
"1769264743325558_1884973245088040","https://www.facebook.com/1769264743325558_1884973245088040","link","I am not defined by my sexuality.","It’s 2017 And Asexual Latinas Still Hear These Ignorant Comments","https://fierce.wearemitu.com/identities/7-things-you-should-never-say-to-an-asexual-latina/","https://external.xx.fbcdn.net/safe_image.php?d=AQAg2nDFkIIrk7fe&url=https%3A%2F%2Fdd2d9j2i66w9u.cloudfront.net%2Fwp-content%2Fuploads%2Fsites%2F2%2F2017%2F08%2F21231928%2FScreen-Shot-2017-08-21-at-4.25.51-PM.png&_nc_hash=AQA32SyGoqQeB9Bd","2017-08-23 14:00:00","2017-08-23","14:00","150601","312","11015","7646","6869","284","0","33","6","0","37","7","0","4","1","275","0","0","27","4","44","44","39","302","301","270","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1769264743325558_1884937408424957","https://www.facebook.com/1769264743325558_1884937408424957","link","She literally puts her life on the line for her art and it’s worth it.","Binational Artist PANCA Is Creating Colorful Monsters On Both Sides Of The Border","https://fierce.wearemitu.com/decor-get-inspired/binational-artist-panca-creates-colorful-monsters-on-both-sides-of-the-border/","https://external.xx.fbcdn.net/safe_image.php?d=AQDtQkreoOZo2hKD&url=https%3A%2F%2Fdd2d9j2i66w9u.cloudfront.net%2Fwp-content%2Fuploads%2Fsites%2F2%2F2017%2F08%2F23172104%2FScreen-Shot-2017-08-23-at-10.27.20-AM.png&_nc_hash=AQBxete_4tgwx9ed","2017-08-23 11:00:00","2017-08-23","11:00","150601","312","71965","48811","2566","47904","0","7","4","1","65","4","1","58","0","104","0","0","406","2","70","70","65","510","512","77","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1769264743325558_1884674431784588","https://www.facebook.com/1769264743325558_1884674431784588","link","“Humans, for the most part, don’t look to discriminate.”","Trans Trailblazer Carmen Carrera Teams Up With Spotify To Inspire LGBTQ+ Youth And Raise Trans...","https://fierce.wearemitu.com/calladitas-no-more/carmen-carrera-and-spotify-are-continuing-her-fight-for-lgbtq-acceptance-and-inclusion/","https://external.xx.fbcdn.net/safe_image.php?d=AQA82fUMS9wT0zE-&url=https%3A%2F%2Fdd2d9j2i66w9u.cloudfront.net%2Fwp-content%2Fuploads%2Fsites%2F2%2F2017%2F08%2F22191339%2FCarmenCarreraInterview1.jpg&_nc_hash=AQBjkya-Exdy-VM9","2017-08-22 16:00:00","2017-08-22","16:00","150320","365","141145","94375","4203","92853","0","13","21","4","204","21","4","191","0","646","63","0","695","3","229","229","207","1404","1414","123","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1769264743325558_1884321415153223","https://www.facebook.com/1769264743325558_1884321415153223","link","""I expect more from you.""","National Co-Chair Of The Women's March, Carmen Perez, Responds To Trump's Comments On Charlottesville","https://fierce.wearemitu.com/calladitas-no-more/latina-activist-carmen-perez-responds-to-trumps-comments-on-charlottesville/","https://external.xx.fbcdn.net/safe_image.php?d=AQArSLzQOd1ORWfl&url=https%3A%2F%2Fdd2d9j2i66w9u.cloudfront.net%2Fwp-content%2Fuploads%2Fsites%2F2%2F2017%2F08%2F21212633%2Fscreen_shot_2017-08-21_at_2.29.40_pm_720.png&_nc_hash=AQCuq1wuavdF4Zoa","2017-08-21 17:00:00","2017-08-21","17:00","149986","308","3639","2545","2147","247","1","16","2","2","20","2","1","4","0","14","0","0","10","2","24","24","16","24","36","30","1","1","2","0","2","0","4","0","13","12","1","5","4","1","1","2","0.3846","1","1","1","0.8462","0.6923","0.5385","0.5385","0.5385","0.5385","0.5385","0.5385","0.5385","0.3846","0.3077","0.3077","0.0769","","","","","","","","","","","","","","","","","","","","","","","",""
"1769264743325558_1884310615154303","https://www.facebook.com/1769264743325558_1884310615154303","video","Can this please be a real yoga class?","","https://www.facebook.com/fiercebymitu/videos/1884310615154303/","https://scontent.xx.fbcdn.net/v/t15.0-10/p720x720/21056476_1884310808487617_3117222787387752448_n.jpg?oh=0580e9bf23b71af8d5a1f3afbbfd6e10&oe=5A343115","2017-08-21 15:00:00","2017-08-21","15:00","149986","308","1366511","859193","34698","850067","577","328","1983","4423","6812","2033","3846","6484","50","161","114","7056","19754","62","13268","13268","10919","27085","26132","1408","35809","2428","38237","0","38236","3878","39198","12393","228899","222908","5991","53689","50426","3263","15314","43624","0.5339","1","0.9973","0.9874","0.9425","0.7443","0.6517","0.584","0.5219","0.4727","0.4062","0.3561","0.2785","0.2231","0.1951","0.1731","0.0613","","","","","","","","","","","","","","","","","","","","","","","",""
"1769264743325558_1884258735159491","https://www.facebook.com/1769264743325558_1884258735159491","photo","","Fierce by mitú's cover photo","https://www.facebook.com/fiercebymitu/photos/a.1769296126655753.1073741827.1769264743325558/1884258735159491/?type=3","https://scontent.xx.fbcdn.net/v/t1.0-9/20994197_1884258735159491_5764440725274498061_n.jpg?oh=7556d800d4448023db698d0c2c8bca46&oe=5A34B49F","2017-08-21 12:04:36","2017-08-21","12:04","149986","308","2525","1652","1518","2","0","6","0","0","6","0","0","0","0","2","40","0","14","2","6","6","6","56","36","33","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1769264743325558_1883835055201859","https://www.facebook.com/1769264743325558_1883835055201859","link","For the longest I thought I was the only one who felt this way.","These Photos Put The Curvy Latina Stereotype To Rest Once And For All","https://fierce.wearemitu.com/calladitas-no-more/these-photos-put-the-curvy-latina-stereotype-to-rest-once-and-for-all/","https://external.xx.fbcdn.net/safe_image.php?d=AQC9FvYzX_VavcpP&url=https%3A%2F%2Fdd2d9j2i66w9u.cloudfront.net%2Fwp-content%2Fuploads%2Fsites%2F2%2F2017%2F08%2F18234159%2Fcurvy-latina-stereotype_720.jpg&_nc_hash=AQBRW7pGQUostx4Q","2017-08-21 09:00:00","2017-08-21","09:00","149986","308","227995","152793","7613","149850","1","33","27","21","311","29","20","278","2","3463","23","0","1255","9","361","361","327","4741","4399","440","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1769264743325558_1883879448530753","https://www.facebook.com/1769264743325558_1883879448530753","link","Traveling to help sex trafficking? Sign me up!","This Latina Was So Impacted By Women Struggling Around The World, She Started A Non-Profit To Help","https://fierce.wearemitu.com/things-that-matter/this-latina-was-so-impacted-by-women-struggling-around-the-world-so-she-started-a-non-profit-to-help/","https://external.xx.fbcdn.net/safe_image.php?d=AQCqPVLwfHQqQMnd&url=https%3A%2F%2Fdd2d9j2i66w9u.cloudfront.net%2Fwp-content%2Fuploads%2Fsites%2F2%2F2017%2F07%2F19173755%2FLorenMedinaTravelWithPurpose.jpg&_nc_hash=AQAZCxtIt28kl-mw","2017-08-20 16:00:00","2017-08-20","16:00","149700","612","88796","57126","2963","56117","1","6","5","2","60","5","1","54","0","196","27","0","378","4","67","67","59","601","556","88","6","0","6","0","6","0","4","0","24","24","0","8","8","0","5","8","0.5833","1","0.7083","0.5417","0.4167","0.3333","0.2917","0.2917","0.2917","0.2917","0.2917","0.2917","0.2917","0.25","0.25","0.25","0.25","0.25","0.25","0.2083","0.2083","0.2083","0.2083","0.2083","0.2083","0.2083","0.2083","0.1667","0.1667","0.1667","0.1667","0.1667","0.1667","0.1667","0.1667","0.1667","0.1667","0.1667","0.1667","0.0833","0"
"1769264743325558_1883681465217218","https://www.facebook.com/1769264743325558_1883681465217218","video","Stay strong, sisters <3","","https://www.facebook.com/fiercebymitu/videos/1883681465217218/","https://scontent.xx.fbcdn.net/v/t15.0-10/p720x720/20994562_1883684638550234_3983690275661807616_n.jpg?oh=3b7a75eae5bf06f103cc8e149dac10c7&oe=5A18FE5E","2017-08-20 15:00:00","2017-08-20","15:00","149700","612","297680","205896","10909","201616","6","195","233","43","895","231","37","700","0","33","23","866","3980","24","1169","1169","983","4902","4425","470","4400","334","4734","0","4532","4642","1552","89086","53349","52639","710","12642","12140","502","4490","10631","0.527","1","0.559","0.3385","0.2576","0.2164","0.1789","0.154","0.1337","0.1223","0.1132","0.1048","0.0981","0.0917","0.0862","0.0826","0.0791","0.0745","0.0713","0.0668","0.0638","0.0606","0.0584","0.0563","0.0531","0.0492","0.0464","0.0442","0.0423","0.0402","0.0389","0.0377","0.0364","0.0354","0.0341","0.0332","0.0325","0.0314","0.0294","0.0216","0.0076"
"1769264743325558_1883462135239151","https://www.facebook.com/1769264743325558_1883462135239151","link","Do u even lift in an inclusive space?","Portland's Liberation Barbell Is The Inclusive Diet-Free, Mirror-Free Gym People Have Been Wanting","https://fierce.wearemitu.com/fierce-boss-ladies/portlands-liberation-barbell-is-the-inclusive-diet-free-mirror-free-gym-people-have-been-wanting/","https://external.xx.fbcdn.net/safe_image.php?d=AQCozpTOLWH5w-Zi&url=https%3A%2F%2Fdd2d9j2i66w9u.cloudfront.net%2Fwp-content%2Fuploads%2Fsites%2F2%2F2017%2F08%2F18231756%2Funnamed1.jpg&_nc_hash=AQB54PI_6cIsSIVT","2017-08-19 16:00:00","2017-08-19","16:00","149124","488","119334","76583","3618","75193","2","9","7","11","60","7","9","51","0","277","87","0","545","3","78","78","67","909","809","104","18","2","20","0","19","0","14","0","40","38","2","25","24","2","10","13","0.7","1","0.925","0.825","0.75","0.7","0.65","0.625","0.625","0.625","0.575","0.55","0.5","0.5","0.5","0.5","0.5","0.5","0.475","0.475","0.475","0.475","0.45","0.45","0.45","0.425","0.425","0.425","0.425","0.425","0.425","0.425","0.425","0.425","0.425","0.425","0.4","0.375","0.35","0.35","0.15"
