"status_id","permalink","post_type","sharetext","headline","link","full_picture","created_time","date","hour","page_total_likes","page_new_likes","post_impressions","post_reach","post_reach_fan_unique","post_reach_viral_unique","comments_on_post","likes_on_post","shares_on_post","total_comments","total_likes","total_shares","comments_on_shares","likes_on_shares","shares_on_shares","link_clicks","photo_view","video_play","other_clicks","post_negative_feedback","post_story_adds","post_stories","post_storytellers","post_consumptions","post_engaged_users","post_engaged_fan","post_video_complete_views_30s_autoplayed","post_video_complete_views_30s_clicked_to_play","post_video_complete_views_30s_organic","post_video_complete_views_30s_paid","post_video_complete_views_30s_unique","post_video_avg_time_watched","post_video_complete_views_organic_unique","post_video_length","post_video_views","post_video_views_autoplayed","post_video_views_clicked_to_play","post_video_views_10s_unique","post_video_views_10s_autoplayed","post_video_views_10s_clicked_to_play","post_video_views_10s_sound_on","post_video_views_sound_on","s0","s1","s2","s3","s4","s5","s6","s7","s8","s9","s10","s11","s12","s13","s14","s15","s16","s17","s18","s19","s20","s21","s22","s23","s24","s25","s26","s27","s28","s29","s30","s31","s32","s33","s34","s35","s36","s37","s38","s39","s40"
"1405630409737397_1824800327820401","https://www.facebook.com/1405630409737397_1824800327820401","link","I can't defend my long-held belief that Elián should have been kept in the U.S.","I Am A Cuban-American And I Admit I No Longer Believe Elián Should Have Been Kept In The U.S.","https://wearemitu.com/identities/what-i-a-cuban-american-learned-by-watching-the-elian-gonzalez-documentary-on-cnn/","https://scontent.xx.fbcdn.net/v/t45.1600-4/21141409_6094413886126_6660184306775752704_n.png?oh=691307d5ccbb091888b1697d49ddd3c2&oe=5A176402","2017-08-31 20:00:00","2017-08-31","20:00","3645674","2166","354522","252545","241015","6691","51","552","63","166","606","63","115","54","0","9165","63","0","8277","28","835","835","696","17505","14071","13065","2","0","2","0","2","0","2","0","33","33","0","5","5","0","1","7","1","0.3333","0.5","0.5","0.4444","0.4444","0.3889","0.3889","0.3889","0.3889","0.1667","0.1667","0.1667","0.1667","0.1667","0.1667","0.1667","0.1667","0.1667","0.1667","0.1111","0.1111","0.1111","0.1111","0.1111","0.1111","0.1111","0.1111","0.1111","0.1111","0.1111","0.1111","0.1111","0.1111","0.1111","0.1111","0.1111","0.1111","0.1111","0.1111","0.0556"
"1405630409737397_1826189604348140","https://www.facebook.com/1405630409737397_1826189604348140","photo","Bilingual and proud.","","https://www.facebook.com/wearemitu/photos/a.1405639273069844.1073741828.1405630409737397/1826189517681482/?type=3","https://scontent.xx.fbcdn.net/v/t1.0-9/p720x720/21151495_1826189517681482_5474925162795545005_n.jpg?oh=9084c019b19d6b24ac482c919b3ce96e&oe=5A281E9A","2017-08-31 19:00:00","2017-08-31","19:00","3645674","2166","841421","556244","375208","188805","1402","20526","2177","3843","26021","2227","2441","5495","50","106","2387","0","18641","50","32091","32091","28665","21134","39140","28877","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1405630409737397_1826249007675533","https://www.facebook.com/1405630409737397_1826249007675533","video","Shoutout to the tías that always comment on my photos.","","https://www.facebook.com/wearemitu/videos/1826249007675533/","https://scontent.xx.fbcdn.net/v/t15.0-10/p720x720/21276975_1826249997675434_1784204688355229696_n.jpg?oh=ded5a806d612d7a94505f234008da2a5&oe=5A2556F2","2017-08-31 18:00:00","2017-08-31","18:00","3645674","2166","897211","591210","501653","91539","1172","6906","1348","2103","8194","1392","931","1288","44","141","64","9834","51026","35","11689","11689","10339","61065","50714","41020","39266","5285","44551","0","43249","5565","41771","16723","192808","183547","9261","66528","60936","6727","53236","80114","0.4996","1","0.9984","0.9898","0.9119","0.7447","0.6305","0.5439","0.486","0.4393","0.4003","0.3664","0.3361","0.318","0.2987","0.2803","0.263","0.249","0.2363","0.2213","0.0772","","","","","","","","","","","","","","","","","","","",""
"1405630409737397_1824775651156202","https://www.facebook.com/1405630409737397_1824775651156202","link","I struggled to go to college, but I made sure my little sister wouldn't have to.","From Diapers To Dorms, I Worked Hard To Make Sure My Baby Sister Could Go To College","https://wearemitu.com/identities/first-gen-sibling-helped-sister-go-college-couldnt-happier/","https://scontent.xx.fbcdn.net/v/t45.1600-4/c28.28.880.880/p936x936/21011679_6094409704326_7131646311421444096_n.png?oh=c7e6a6d6d53d823d17821e8e28ab8da6&oe=5A297452","2017-08-31 16:00:00","2017-08-31","16:00","3645674","2166","426735","302229","266210","25498","98","3520","237","214","3941","245","116","421","8","5161","64","0","4837","32","4400","4400","4127","10062","10640","9332","0","0","0","0","0","0","0","0","33","33","0","3","3","0","1","3","1","0.0526","0","0","0.0526","0.0526","0.0526","0.0526","0.0526","0.0526","0.0526","0.0526","0.0526","0.0526","0.0526","0.0526","0.0526","0.0526","0.0526","0.0526","0.0526","0.0526","0.0526","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1405630409737397_1826188751014892","https://www.facebook.com/1405630409737397_1826188751014892","photo","What DACA recipients need to know right now.","Photos from We are mitú's post","https://www.facebook.com/wearemitu/photos/a.1405639273069844.1073741828.1405630409737397/1826188611014906/?type=3","https://scontent.xx.fbcdn.net/v/t1.0-9/p720x720/21191845_1826188611014906_4817368593422320345_n.jpg?oh=d39343d238f1ae5b499f329bc5d50667&oe=5A56BCB8","2017-08-31 14:01:13","2017-08-31","14:01","3645674","2166","283066","198783","180374","16227","43","448","445","99","634","454","56","186","9","52","3608","0","2656","11","1187","1187","1023","6316","4714","3948","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1405630409737397_1826106464356454","https://www.facebook.com/1405630409737397_1826106464356454","video","She is speaking to my soul.","","https://www.facebook.com/wearemitu/videos/1826106464356454/","https://scontent.xx.fbcdn.net/v/t15.0-10/s720x720/21292057_1826107751022992_3955098274645409792_n.jpg?oh=df61f5f67ef500fd1d64e162299282e2&oe=5A60CCCE","2017-08-31 13:30:00","2017-08-31","13:30","3645674","2166","953807","648733","371021","292207","97","3740","2551","246","6298","2573","149","2558","22","108","265","2106","19218","74","9117","9117","7310","21697","20453","12689","20039","1065","21104","0","20605","6930","7267","145726","158265","156413","1852","48551","48158","1456","28629","50798","0.699","1","0.4931","0.347","0.2693","0.2197","0.1896","0.1751","0.1629","0.1498","0.1392","0.1277","0.1197","0.1105","0.1045","0.0988","0.095","0.0909","0.0866","0.0814","0.0786","0.0766","0.0752","0.0742","0.073","0.0714","0.0696","0.0682","0.0667","0.0657","0.0647","0.0635","0.0623","0.061","0.0597","0.0586","0.0577","0.0569","0.0561","0.0553","0.0228"
"1405630409737397_1826080291025738","https://www.facebook.com/1405630409737397_1826080291025738","link","She has until March 2018 to get Congress to pass this bill.","A Gay Man's Brutal Torture And Murder In 2012 Changed Thoughts On Gay Rights, Now Chile Is Talking Marriage Equality","https://wearemitu.com/things-that-matter/chiles-president-has-sent-legislation-to-legalize-marriage-equality-following-her-access-to-abortion-victory/","https://scontent.xx.fbcdn.net/v/t45.1600-4/21012015_6094521607126_8696748345592381440_n.png?oh=a2ca72b6a4db7d82ef9e73693654ae7c&oe=5A539D2E","2017-08-31 13:00:03","2017-08-31","13:00","3645674","2166","86983","60490","57553","157","3","91","8","8","100","8","5","9","0","329","88","0","366","7","116","116","107","783","714","656","1","0","1","0","1","0","1","0","3","3","0","1","1","0","0","0","1","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0","0","0"
"1405630409737397_1826092004357900","https://www.facebook.com/1405630409737397_1826092004357900","photo","I'm going to stop you right there.","","https://www.facebook.com/wearemitu/photos/a.1405639273069844.1073741828.1405630409737397/1826091901024577/?type=3","https://scontent.xx.fbcdn.net/v/t1.0-9/p720x720/21231588_1826091901024577_2544259336101202871_n.jpg?oh=3d80d9b81141edd4874601805424533d&oe=5A202195","2017-08-31 12:00:01","2017-08-31","12:00","3645674","2166","469507","323081","292589","30658","636","4643","492","1119","5057","512","483","414","20","33","2361","0","8618","23","6688","6688","5912","11012","12287","11063","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1405630409737397_1826072934359807","https://www.facebook.com/1405630409737397_1826072934359807","link","""I can see this going to the all the way to the U.S. Supreme Court.""","Federal Judge Temporarily Blocks SB4 In Texas, But The Fight Is Not Over","https://wearemitu.com/things-that-matter/federal-judge-temporarily-blocks-sb4-in-texas-but-the-fight-is-not-over/","https://external.xx.fbcdn.net/safe_image.php?d=AQBOUJMRpKUUXdBb&url=https%3A%2F%2Fdd2d9j2i66w9u.cloudfront.net%2Fwp-content%2Fuploads%2F2017%2F08%2F31102257%2Fmandel-ngan-657311250.jpg&_nc_hash=AQBqXnjWj38QgrK1","2017-08-31 11:00:01","2017-08-31","11:00","3645674","2166","102891","67245","64810","728","2","154","17","5","167","18","3","13","1","795","25","0","619","7","190","190","173","1439","1362","1284","54","7","61","0","59","0","12","0","171","164","7","94","88","7","64","90","0.5608","1","0.7838","0.6149","0.527","0.4797","0.4392","0.4324","0.4257","0.4257","0.4257","0.4122","0.4122","0.3986","0.3986","0.3851","0.3851","0.3851","0.3784","0.3716","0.3649","0.3581","0.3581","0.3581","0.3581","0.3581","0.3514","0.3446","0.3446","0.3446","0.3378","0.3378","0.3176","0.3041","0.3041","0.2905","0.2905","0.1757","0.0811","0.0811","0.027"
"1405630409737397_1825345271099240","https://www.facebook.com/1405630409737397_1825345271099240","video","Tag a true Cuban!","Tag a true Cuban!","https://www.facebook.com/wearemitu/videos/1825345271099240/","https://scontent.xx.fbcdn.net/v/t15.0-10/p720x720/21269274_1825345301099237_9068577979533099008_n.jpg?oh=2d7ac24d5e70e722fd619ec39637bf98&oe=5A1FBEEC","2017-08-31 10:00:00","2017-08-31","10:00","3645674","2166","5587221","3346123","1190457","1654423","2950","21174","10947","7653","40786","11064","4703","19612","117","99","30","28617","280182","360","59503","59503","46004","308928","258894","98214","279998","20021","299579","440","300019","18415","81284","143486","1040310","1014591","25719","514107","502461","22988","340647","439009","0.5767","1","0.701","0.5457","0.4516","0.3875","0.3534","0.339","0.3301","0.3221","0.3166","0.3121","0.3067","0.3013","0.298","0.2926","0.2885","0.2867","0.284","0.2807","0.2785","0.276","0.2726","0.2677","0.2631","0.2584","0.256","0.2549","0.2533","0.2506","0.2486","0.2461","0.2443","0.2392","0.2357","0.2318","0.2214","0.1679","0.0901","0.0769","0.029"
