"status_id","permalink","post_type","sharetext","headline","link","full_picture","created_time","date","hour","page_total_likes","page_new_likes","post_impressions","post_reach","post_reach_fan_unique","post_reach_viral_unique","comments_on_post","likes_on_post","shares_on_post","total_comments","total_likes","total_shares","comments_on_shares","likes_on_shares","shares_on_shares","link_clicks","photo_view","video_play","other_clicks","post_negative_feedback","post_story_adds","post_stories","post_storytellers","post_consumptions","post_engaged_users","post_engaged_fan","post_video_complete_views_30s_autoplayed","post_video_complete_views_30s_clicked_to_play","post_video_complete_views_30s_organic","post_video_complete_views_30s_paid","post_video_complete_views_30s_unique","post_video_avg_time_watched","post_video_complete_views_organic_unique","post_video_length","post_video_views","post_video_views_autoplayed","post_video_views_clicked_to_play","post_video_views_10s_unique","post_video_views_10s_autoplayed","post_video_views_10s_clicked_to_play","post_video_views_10s_sound_on","post_video_views_sound_on","s0","s1","s2","s3","s4","s5","s6","s7","s8","s9","s10","s11","s12","s13","s14","s15","s16","s17","s18","s19","s20","s21","s22","s23","s24","s25","s26","s27","s28","s29","s30","s31","s32","s33","s34","s35","s36","s37","s38","s39","s40"
"1769264743325558_1882160732035958","https://www.facebook.com/1769264743325558_1882160732035958","link","So if a guy has sexual double meanings in his lyrics it's okay? Ummm, no.","This Radio Interview Got Heated Once One Of The Hosts Tried To Tell Becky G That Her Music Lyrics Should Not Be Sexual","https://fierce.wearemitu.com/calladitas-no-more/becky-g-claps-back-to-this-radio-host-who-tries-to-tell-her-that-women-should-not-express-themselves-sexually-in-their-music/","https://scontent.xx.fbcdn.net/v/t45.1600-4/20628042_6093628128126_2821315144309538816_n.png?oh=fe64b0c8686541465337cafc304ff9f7&oe=59EB4BE6","2017-08-16 16:00:03","2017-08-16","16:00","147733","1048","306302","216891","13477","209655","12","114","93","87","835","94","75","721","1","8917","17","0","4420","6","1016","1016","907","13354","10266","1127","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1769264743325558_1881708935414471","https://www.facebook.com/1769264743325558_1881708935414471","link","My nerves were through the roof.","Worrying If He’ll Remember To Kiss Everyone On The Cheek Is Only One Thing That Stresses You Out When You Introduce Your Non-Latino Novio","https://fierce.wearemitu.com/el-amor/thoughts-you-have-when-you-introduce-your-non-latino-partner-to-your-family/","https://scontent.xx.fbcdn.net/v/t45.1600-4/20627455_6093563578926_8157952824387305472_n.png?oh=99855e4c0c15a40eef7a412c79312c7e&oe=5A19B298","2017-08-16 07:00:00","2017-08-16","07:00","147733","1048","196848","137484","6278","134221","2","14","23","86","267","24","84","253","1","1779","20","0","1231","7","377","377","321","3030","2807","239","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1769264743325558_1882003332051698","https://www.facebook.com/1769264743325558_1882003332051698","video","Selena Quintanilla Pérez // How her life influenced her style","","https://www.facebook.com/fiercebymitu/videos/1882003332051698/","https://scontent.xx.fbcdn.net/v/t15.0-10/p720x720/20884372_1882004002051631_1864977196238503936_n.jpg?oh=2134f8e98d15558d73be7a7274bf80ed&oe=5A2D9A18","2017-08-15 10:00:00","2017-08-15","10:00","146739","286","3981940","2203426","71094","2105320","136","4887","6769","913","26638","6815","777","21751","46","89","127","20878","125418","207","34366","34366","31082","146512","130561","7260","176408","15376","191784","0","191784","19979","100397","206846","530059","510421","19638","277622","261038","17612","144351","196815","0.8069","1","0.7249","0.6196","0.555","0.5322","0.5016","0.4785","0.458","0.4372","0.4192","0.4037","0.3886","0.3778","0.3682","0.3636","0.3579","0.3519","0.3477","0.344","0.3379","0.3254","0.3208","0.3186","0.316","0.3133","0.308","0.3033","0.2999","0.2974","0.2955","0.2933","0.2917","0.2899","0.288","0.2849","0.2801","0.2779","0.2715","0.2522","0.088"
"1769264743325558_1881310505454314","https://www.facebook.com/1769264743325558_1881310505454314","link","They're breaking barriers.","These Two Chilean Women Are Leaving A Mark On The Animation World With 'Here's The Plan'","https://fierce.wearemitu.com/fierce-boss-ladies/these-two-chilean-women-are-leaving-a-mark-on-the-animation-world-with-heres-the-plan/","https://external.xx.fbcdn.net/safe_image.php?d=AQA0B4YGTrruFmQq&url=https%3A%2F%2Fdd2d9j2i66w9u.cloudfront.net%2Fwp-content%2Fuploads%2Fsites%2F2%2F2017%2F07%2F21201739%2FHeresThePlan.jpg&_nc_hash=AQCMpaQW1Kw6SD4j","2017-08-13 20:00:00","2017-08-13","20:00","145653","1183","85309","57174","2531","56573","0","8","11","2","77","12","2","69","1","283","40","0","361","4","91","91","80","684","682","73","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1769264743325558_1880587542193277","https://www.facebook.com/1769264743325558_1880587542193277","link","Because who doesn't feel more confident when wearing a crown?","To This Woman, Her Flower Crowns Are Not Just Festival Accessories","https://fierce.wearemitu.com/fierce-boss-ladies/these-frida-kahlo-inspired-crowns-will-bring-out-the-queen-in-you/","https://scontent.xx.fbcdn.net/v/t45.1600-4/20627816_6093450701726_3860280605228924928_n.png?oh=69ae073243ab8bb4063950c0aff8f132&oe=5A2EFFD3","2017-08-13 07:00:00","2017-08-13","07:00","145653","1183","165631","115944","7605","110906","4","77","25","32","344","22","28","267","0","1017","22","0","717","5","398","398","334","1756","1730","292","1","0","1","0","1","0","0","0","2","2","0","2","2","0","0","0","0.5","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0","0","0","0","0","0","0"
"1769264743325558_1880699198848778","https://www.facebook.com/1769264743325558_1880699198848778","video","When a guy asks you to say something sexy in Spanish, try these tips from Adrienne Bailon!","","https://www.facebook.com/fiercebymitu/videos/1880699198848778/","https://scontent.xx.fbcdn.net/v/t15.0-10/p720x720/20820013_1880702232181808_5977980145384816640_n.jpg?oh=66414141694663c2ad3628928f85319c&oe=5A2E07E4","2017-08-12 15:00:00","2017-08-12","15:00","144512","286","2746412","1655807","54185","1638488","1615","7181","6957","4641","23769","7097","3026","16588","140","100","292","30725","170648","209","35507","35507","28596","201765","149626","8654","171480","24523","196003","0","183844","9668","116657","44137","430593","401907","28686","242880","231242","26985","169917","195065","0.5408","1","0.992","0.9415","0.7968","0.7198","0.6732","0.6403","0.6163","0.6013","0.5916","0.5834","0.5765","0.5697","0.5599","0.5521","0.544","0.5349","0.529","0.5236","0.5148","0.5095","0.5043","0.497","0.49","0.4806","0.4694","0.4573","0.4494","0.4406","0.4343","0.4287","0.4223","0.4131","0.403","0.3936","0.373","0.345","0.2832","0.2101","0.071"
"1769264743325558_1880226315562733","https://www.facebook.com/1769264743325558_1880226315562733","link","Uh can I get one of each plz? Thx.","These 9 Latina Designers Will Make You Want To Max Out Your Credit Card","https://fierce.wearemitu.com/everyday-runway/these-9-latina-designers-will-make-you-want-to-max-out-your-credit-card/","https://external.xx.fbcdn.net/safe_image.php?d=AQCT8nzBfazAZqDE&url=https%3A%2F%2Fdd2d9j2i66w9u.cloudfront.net%2Fwp-content%2Fuploads%2Fsites%2F2%2F2017%2F08%2F11010803%2FScreen-Shot-2017-08-10-at-6.07.49-PM.png&_nc_hash=AQAWBFeD1JKPpE-7","2017-08-11 13:00:00","2017-08-11","13:00","144261","971","123233","82757","3948","81708","1","21","11","12","103","11","11","82","0","1296","20","0","378","4","126","126","114","1694","1573","195","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1769264743325558_1879723482279683","https://www.facebook.com/1769264743325558_1879723482279683","link","This makes me want to join all these events.","How An Instagram Account Is Making It Easier For Latinos To Go To Local Protests","https://wearemitu.com/fierce/how-palantelatinx-is-keeping-the-community-informed-of-social-justice-actions/","https://external.xx.fbcdn.net/safe_image.php?d=AQD7OX5Lsa6fpSjP&url=https%3A%2F%2Fdd2d9j2i66w9u.cloudfront.net%2Fwp-content%2Fuploads%2F2017%2F08%2F09093643%2Frally-2591086_1280.jpg&_nc_hash=AQDIkOalrqt-ugni","2017-08-10 13:00:00","2017-08-10","13:00","143313","644","104407","68387","3583","66447","1","36","15","3","170","15","2","134","0","385","244","0","526","1","188","188","169","1155","1161","171","4","0","4","0","4","0","2","0","13","12","1","7","7","0","2","4","0.4615","1","0.8462","0.6154","0.6154","0.4615","0.4615","0.4615","0.4615","0.3846","0.3846","0.3846","0.3077","0.3077","0.2308","0.2308","0.2308","0.2308","0.2308","0.2308","0.2308","0.2308","0.2308","0.2308","0.2308","0.2308","0.2308","0.2308","0.2308","0.1538","0.1538","0.1538","0.1538","0.1538","0.1538","0.1538","0.1538","0.1538","0.1538","0.1538","0"
"1769264743325558_1879703042281727","https://www.facebook.com/1769264743325558_1879703042281727","video","These looks are bringing out my inner hood girl.","","https://www.facebook.com/fiercebymitu/videos/1879703042281727/","https://scontent.xx.fbcdn.net/v/t15.0-10/s720x720/20774269_1879703932281638_3519194944193429504_n.jpg?oh=a8fa2975c16d3a2a42b09a42b4f8c84e&oe=5A2834B1","2017-08-10 10:00:29","2017-08-10","10:00","143313","644","408024","259176","13710","253922","22","235","174","93","1027","177","71","792","3","142","144","1659","7506","7","1297","1297","1023","9451","7340","834","9591","1089","10680","0","10650","6158","5311","94547","52259","50764","1495","22358","21706","1367","9630","13307","0.5843","1","0.7493","0.5691","0.4588","0.397","0.3576","0.3263","0.2914","0.2628","0.2417","0.224","0.2124","0.2001","0.1892","0.186","0.1809","0.1743","0.1695","0.1649","0.1595","0.1556","0.1524","0.1473","0.1425","0.1387","0.1354","0.1342","0.132","0.1286","0.1257","0.1247","0.1229","0.1209","0.1188","0.116","0.1137","0.1117","0.1037","0.0876","0.029"
"1769264743325558_1879436955641669","https://www.facebook.com/1769264743325558_1879436955641669","link","A great read for children and parents living in fear.","This Comic Book Makes Deportation Less Scary For Kids","https://fierce.wearemitu.com/politics/new-comic-book-teaches-children-how-to-deal-with-the-fears-of-deportation/","https://scontent.xx.fbcdn.net/v/t39.2147-6/c21.10.590.292/p600x313/20748533_1879436882308343_94472074873012224_n.jpg?oh=94c780b18541196ed1ae464effa0bb2f&oe=5A2CD334","2017-08-10 07:00:00","2017-08-10","07:00","143313","644","115202","79991","3299","79213","1","9","24","21","92","24","20","83","0","431","43","0","451","3","137","137","110","925","840","86","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
