status_id,permalink,post_type,sharetext,headline,link,full_picture,created_time,date,hour,page_total_likes,page_new_likes,post_impressions,post_reach,post_reach_fan_unique,post_reach_viral_unique,comments_on_post,likes_on_post,shares_on_post,total_comments,total_likes,total_shares,comments_on_shares,likes_on_shares,shares_on_shares,link_clicks,photo_view,video_play,other_clicks,post_negative_feedback,post_story_adds,post_stories,post_storytellers,post_consumptions,post_engaged_users,post_engaged_fan,post_video_complete_views_30s_autoplayed,post_video_complete_views_30s_clicked_to_play,post_video_complete_views_30s_organic,post_video_complete_views_30s_paid,post_video_complete_views_30s_unique,post_video_avg_time_watched,post_video_complete_views_organic_unique,post_video_length,post_video_views,post_video_views_autoplayed,post_video_views_clicked_to_play,post_video_views_10s_unique,post_video_views_10s_autoplayed,post_video_views_10s_clicked_to_play,post_video_views_10s_sound_on,post_video_views_sound_on,s0,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12,s13,s14,s15,s16,s17,s18,s19,s20,s21,s22,s23,s24,s25,s26,s27,s28,s29,s30,s31,s32,s33,s34,s35,s36,s37,s38,s39,s40
1405630409737397_1822808841352883,https://www.facebook.com/1405630409737397_1822808841352883,photo,That's like 1/8 of a shrimp.,,https://www.facebook.com/wearemitu/photos/a.1405639273069844.1073741828.1405630409737397/1822808354686265/?type=3,https://scontent.xx.fbcdn.net/v/t1.0-9/p720x720/21077403_1822808354686265_1727518077201879076_n.jpg?oh=cab5025eb3b09da978b2ee5de477e672&oe=5A58C32C,27/08/2017 4:00,27/08/2017,4:00,NA,NA,254593,182129,169551,7815,120,1160,104,192,1252,107,72,92,3,6,1144,0,674,13,1551,1551,1466,1824,2863,2566,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1405630409737397_1821947234772377,https://www.facebook.com/1405630409737397_1821947234772377,link,The Cali Cartel looks even more terrifying than Escobar's.,"Narcos Season Three Will Focus On The Cali Cartel, Check Out This Behind The Scenes Video To Find Out Why",https://wearemitu.com/entertainment/this-behind-the-scenes-narcos-season-three-trailer-is-promising-some-major-high-stakes-and-explosive-characters/,https://scontent.xx.fbcdn.net/v/t45.1600-4/c23.12.750.400/p796x416/20864740_6094230895526_1233573839305179136_n.png?oh=1757e49d967eb63861f9bfa663e58b42&oe=5A1B8C07,27/08/2017 7:00,27/08/2017,7:00,NA,NA,251494,179609,171461,6307,54,653,59,93,710,61,39,57,2,1677,46,0,1279,23,864,864,806,3002,3289,3113,21,0,21,0,21,0,19,0,42,42,0,23,23,0,1,3,0.6875,1,0.7813,0.7188,0.9375,0.9375,0.9375,0.9063,0.9063,0.9063,0.875,0.875,0.875,0.8125,0.8125,0.8125,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.7188,0.7188,0.7188,0.7188,0.7188,0.7188,0.6563,0.6563,0.6563,0.625,0.625,0.625,0.5938,0.5938,0.5938,0.3125,0.3125,0.3125
1405630409737397_1823006741333093,https://www.facebook.com/1405630409737397_1823006741333093,photo,Perfect match.,,https://www.facebook.com/wearemitu/photos/a.1405639273069844.1073741828.1405630409737397/1823006481333119/?type=3,https://scontent.xx.fbcdn.net/v/t1.0-9/p720x720/21105572_1823006481333119_1959946305468290810_n.jpg?oh=a74b9a4c43a63dcff0e15b47b741779e&oe=5A1421C9,27/08/2017 7:04,27/08/2017,7:04,NA,NA,506479,341646,279596,63204,437,4891,673,1086,6297,688,649,1406,15,25,1331,0,2622,18,8071,8071,7127,3978,9263,7058,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1405630409737397_1823027924664308,https://www.facebook.com/1405630409737397_1823027924664308,photo,Tag someone who's still bitter about yesterday's fight.,,https://www.facebook.com/wearemitu/photos/a.1405639273069844.1073741828.1405630409737397/1823027561331011/?type=3,https://scontent.xx.fbcdn.net/v/t1.0-9/p720x720/21034530_1823027561331011_9110359421436934699_n.jpg?oh=f6b9f683880898c290248ea235bbb1ed&oe=5A2C5211,27/08/2017 8:08,27/08/2017,8:08,NA,NA,395685,269738,232152,33639,234,2768,522,366,3156,536,132,388,14,48,1933,0,3425,54,4058,4058,3678,5406,7858,6847,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1405630409737397_1822060214761079,https://www.facebook.com/1405630409737397_1822060214761079,link,"""The fact that I didn’t learn about any of this s••• when I was in high school or elementary school is a testament to the fact that we have an inability to take accountability for our action across the world.""",This Art Exhibition Reflects On Lasting Impact Of Salvadoran Civil War,https://wearemitu.com/identities/art-exhibition-reflects-lasting-impact-salvadoran-civil-war/,https://scontent.xx.fbcdn.net/v/t45.1600-4/21011746_6094235849326_2819983622843400192_n.png?oh=6babff33abc30bf4c1ff955078a1fc25&oe=5A188916,27/08/2017 9:00,27/08/2017,9:00,NA,NA,453560,318328,271989,44020,73,1280,499,160,1788,513,87,508,14,4169,33,0,2839,33,2461,2461,2068,7041,7034,5521,35,2,37,0,36,0,29,0,111,109,2,42,42,2,14,26,0.6709,1,0.6076,0.4557,0.6835,0.6456,0.6456,0.6329,0.6329,0.6203,0.6329,0.6329,0.6329,0.6329,0.6203,0.6076,0.5823,0.557,0.557,0.5443,0.5443,0.5443,0.519,0.4177,0.4177,0.4177,0.4051,0.4051,0.4051,0.4051,0.4051,0.4051,0.4051,0.4051,0.4051,0.3797,0.3797,0.3797,0.1392,0.1392,0.1392
1405630409737397_1823083911325376,https://www.facebook.com/1405630409737397_1823083911325376,video,"""I have scars that tell the untold recollections of my youth.""",Bad Hombres,https://www.facebook.com/WeAreBadHombres/videos/286995341784633/,https://scontent.xx.fbcdn.net/v/t15.0-10/s720x720/21153961_286995371784630_8916728281206620160_n.jpg?oh=348a18be77360e629b80ff834e74dab6&oe=5A164924,27/08/2017 10:00,27/08/2017,10:00,NA,NA,418043,283981,275700,1522,6,288,0,14,307,0,8,19,0,75,32,0,4952,23,321,321,301,5059,4365,4196,0,0,0,0,0,0,0,113918,62136,61575,561,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1405630409737397_1823054717994962,https://www.facebook.com/1405630409737397_1823054717994962,link,"“Most people think doing a mural is super glamorous and stylish, but it’s hard, dirty work here in TJ.”",Fierce by mitú,https://fierce.wearemitu.com/decor-get-inspired/binational-artist-panca-creates-colorful-monsters-on-both-sides-of-the-border/,https://external.xx.fbcdn.net/safe_image.php?d=AQDtQkreoOZo2hKD&url=https%3A%2F%2Fdd2d9j2i66w9u.cloudfront.net%2Fwp-content%2Fuploads%2Fsites%2F2%2F2017%2F08%2F23172104%2FScreen-Shot-2017-08-23-at-10.27.20-AM.png&_nc_hash=AQBxete_4tgwx9ed,27/08/2017 11:00,27/08/2017,11:00,NA,NA,33882,23319,22711,27,0,33,0,0,34,0,0,1,0,49,28,0,152,1,34,34,32,229,222,216,4,0,4,0,4,0,1,0,64,62,2,20,18,2,10,17,0.5156,1,0.6563,0.375,0.2031,0.1563,0.1406,0.1406,0.1094,0.1094,0.0625,0.0625,0.0781,0.0469,0.0469,0.0469,0.0781,0.0625,0.0469,0.0469,0.0469,0.0625,0.0469,0.0313,0.0313,0.0313,0.0313,0.0313,0.0469,0.0313,0.0313,0.0156,0.0156,0.0156,0.0313,0.0313,0.0313,0.0156,0.0156,0.0156,0.0156
1405630409737397_1823095891324178,https://www.facebook.com/1405630409737397_1823095891324178,photo,<f0><U+009F><U+0098><U+00A1>,,https://www.facebook.com/wearemitu/photos/a.1405639273069844.1073741828.1405630409737397/1823095721324195/?type=3,https://scontent.xx.fbcdn.net/v/t1.0-9/p720x720/21149968_1823095721324195_7201370730623692532_n.jpg?oh=d33ef71bc14189a58a4958d6daaef889&oe=5A146184,27/08/2017 12:00,27/08/2017,12:00,NA,NA,1828020,1163594,650925,512929,2362,24364,5474,5510,37141,5607,3148,12777,133,50,8466,0,16199,102,48258,48258,42284,24715,55463,36175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1405630409737397_1821748971458870,https://www.facebook.com/1405630409737397_1821748971458870,link,Lmao the video with 'The Notebook' has me dying.,Guacardo Is The Dancing Avocado Breathing New Life Into Classic Movies And Music Videos And It's Funny AF,https://wearemitu.com/comedy/people-on-the-internet-are-obsessed-with-these-guacardo-parodies/,https://scontent.xx.fbcdn.net/v/t45.1600-4/21012471_6094218469126_1846925938319687680_n.png?oh=ee3c16be6dff375dd986f0aa1df828b7&oe=5A228162,27/08/2017 13:00,27/08/2017,13:00,NA,NA,110119,74359,70708,1095,30,159,26,55,169,26,25,10,0,653,16,0,555,13,250,250,205,1224,1122,1059,0,0,0,0,0,0,0,0,9,9,0,1,1,0,0,0,0.25,1,0.5,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1405630409737397_1823097461324021,https://www.facebook.com/1405630409737397_1823097461324021,video,Happy 'Game of Thrones' Day!,,https://www.facebook.com/wearemitu/videos/1823097461324021/,https://scontent.xx.fbcdn.net/v/t15.0-10/p720x720/21154884_1823097911323976_5195659231172231168_n.jpg?oh=98d8ebb290e222199f5946083cafcd47&oe=5A1ACAD0,27/08/2017 14:00,27/08/2017,14:00,NA,NA,1960021,1250398,992722,216638,5478,4098,1371,8267,5132,1403,2789,1034,32,49,456,10858,35600,111,14802,14802,12265,46963,36963,28536,12934,1062,13996,0,13581,3575,13416,28862,263191,253852,9339,79777,73536,6919,36320,72380,0.528,1,0.9887,0.9641,0.8274,0.6892,0.5723,0.4804,0.4169,0.3756,0.3352,0.3017,0.2739,0.2342,0.209,0.1887,0.1737,0.1557,0.1417,0.1301,0.1183,0.1086,0.0988,0.0902,0.081,0.0756,0.0701,0.0662,0.0615,0.0582,0.055,0.0513,0.0173,,,,,,,,
