status_id,permalink,mitu_link,sharetext,post_type,category,date,sponsored,reposted,original,repost,repost_order,times_repost,days_bet_repost
150424302108405_199939543823547,https://www.facebook.com/150424302108405_199939543823547,https://www.wearemitu.com/mitu-world/this-mother-did-the-most-mom-thing-ever-at-a-movie-theater/,At least she offered some to her son...,Link,Identities,7/03/2017,0,0,1,0,,,
150424302108405_197381937412641,https://www.facebook.com/150424302108405_197381937412641,https://www.wearemitu.com/mitu-world/this-new-taco-bell-item-might-make-you-fall-in-love-or-offend-the-hell-out-of-you/,Time to get a bigger toilet.,Link,Food & Beverages,3/03/2017,0,0,1,0,,,
150424302108405_181414645676037,https://www.facebook.com/150424302108405_181414645676037,https://www.wearemitu.com/mitu-world/watch-this-fool-take-on-the-fierce-costa-rican-bullet-ant/,"""This is a whole bunch of hell nah.""",Link,Animals,9/02/2017,0,0,1,0,,,
150424302108405_180200285797473,https://www.facebook.com/150424302108405_180200285797473,https://www.wearemitu.com/mitu-world/we-might-be-getting-a-latino-sons-of-anarchy-spinoff/,"""Mayans are lowkey the best part of this show anyway.""",Link,TV & Movies,1/02/2017,0,0,1,0,,,
150424302108405_192361107914724,https://www.facebook.com/150424302108405_192361107914724,https://www.wearemitu.com/mitu-world/young-latino-proud-is-your-anthem-for-the-summer-and-forever/,"""We can't wait for summer.""",Link,Music,21/02/2017,0,0,1,0,,,
150424302108405_195956780888490,https://www.facebook.com/150424302108405_195956780888490,https://www.wearemitu.com/newsfeed/7-ways-your-big-brother-ruined-your-life-and-made-you-into-the-man-you-are-today/,"Don't haze me, bro!",Link,Family & Friends,28/02/2017,0,0,1,0,,,
150424302108405_185791708571664,https://www.facebook.com/150424302108405_185791708571664,https://www.wearemitu.com/newsfeed/heres-how-to-crush-it-on-valentines-day-without-flattening-your-wallet/,I'm just going to go with #12,Link,Sex & Relationships,10/02/2017,0,0,1,0,,,
150424302108405_196578707492964,https://www.facebook.com/150424302108405_196578707492964,https://www.wearemitu.com/newsfeed/if-youre-on-the-fence-about-working-out-your-forearms-you-might-find-this-helpful/,Forearms get no love.,Link,Sports,1/03/2017,0,0,1,0,,,
150424302108405_190725381411630,https://www.facebook.com/150424302108405_190725381411630,https://www.wearemitu.com/newsfeed/in-case-you-didnt-know-the-macarena-is-a-song-about-the-worst-day-of-some-poor-dudes-life/,"""Oh no she didn't.""",Link,Music,20/02/2017,0,0,1,0,,,
150424302108405_189531521531016,https://www.facebook.com/150424302108405_189531521531016,https://www.wearemitu.com/newsfeed/rey-mysterio-triple-h-and-other-wrestling-stars-pay-respects-to-chavo-guerrero-sr/,"""Viva La Raza.""",Link,Sports,17/02/2017,0,0,1,0,,,
150424302108405_193976734419828,https://www.facebook.com/150424302108405_193976734419828,https://www.wearemitu.com/newsfeed/the-kinds-of-dads-you-meet-while-dating/,#7 Is Nightmare Fuel.,Link,Family & Friends,23/02/2017,0,0,1,0,,,
