"status_id","permalink","post_type","sharetext","headline","link","full_picture","created_time","date","hour","page_total_likes","page_new_likes","post_impressions","post_reach","post_reach_fan_unique","post_reach_viral_unique","comments_on_post","likes_on_post","shares_on_post","total_comments","total_likes","total_shares","comments_on_shares","likes_on_shares","shares_on_shares","link_clicks","photo_view","video_play","other_clicks","post_negative_feedback","post_story_adds","post_stories","post_storytellers","post_consumptions","post_engaged_users","post_engaged_fan","post_video_complete_views_30s_autoplayed","post_video_complete_views_30s_clicked_to_play","post_video_complete_views_30s_organic","post_video_complete_views_30s_paid","post_video_complete_views_30s_unique","post_video_avg_time_watched","post_video_complete_views_organic_unique","post_video_length","post_video_views","post_video_views_autoplayed","post_video_views_clicked_to_play","post_video_views_10s_unique","post_video_views_10s_autoplayed","post_video_views_10s_clicked_to_play","post_video_views_10s_sound_on","post_video_views_sound_on","s0","s1","s2","s3","s4","s5","s6","s7","s8","s9","s10","s11","s12","s13","s14","s15","s16","s17","s18","s19","s20","s21","s22","s23","s24","s25","s26","s27","s28","s29","s30","s31","s32","s33","s34","s35","s36","s37","s38","s39","s40"
"1405630409737397_1828421047458329","https://www.facebook.com/1405630409737397_1828421047458329","photo","I'm already getting ready.","","https://www.facebook.com/wearemitu/photos/a.1405639273069844.1073741828.1405630409737397/1828420797458354/?type=3","https://scontent.xx.fbcdn.net/v/t1.0-9/p720x720/21231233_1828420797458354_8282318134167627475_n.jpg?oh=dc3588bb7469776b2dce5af9a4d1ff64&oe=5A560E92","2017-09-03 21:00:00","2017-09-03","21:00","3651637","3103","386667","271087","229761","40343","513","4880","657","977","5538","677","464","658","20","22","2080","0","2013","18","7192","7192","6593","4115","9019","7514","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1405630409737397_1826813734285727","https://www.facebook.com/1405630409737397_1826813734285727","link","What's your #UndocuJoy?","Undocumented Americans Are Breaking Stereotypes With A Social Media Campaign","https://wearemitu.com/things-that-matter/this-social-media-campaign-pushes-undocumented-americans-challenge-fear-by-sharing-their-joy/","https://scontent.xx.fbcdn.net/v/t45.1600-4/21143483_6094538721926_3475198158206664704_n.png?oh=c28453b70e1da2fa51bb3701d3b0df0d&oe=5A5274A0","2017-09-03 20:00:00","2017-09-03","20:00","3651637","3103","147876","105704","100549","1243","4","192","39","12","209","39","8","17","0","771","64","0","559","15","260","260","244","1394","1376","1314","34","2","36","0","35","0","31","0","96","93","3","35","34","2","6","17","0.5","0.5","0.5","0.5","0.5","1","1","1","1","1","0.9896","0.9896","0.9896","0.9896","0.9896","0.9896","0.9896","0.9896","0.9896","0.9583","0.9583","0.9583","0.9583","0.6979","0.6979","0.6979","0.6979","0.6979","0.5938","0.5938","0.5938","0.5938","0.4063","0.4063","0.4063","0.4063","0.4063","0.2708","0.2708","0.2708","0.2708"
"1405630409737397_1828421764124924","https://www.facebook.com/1405630409737397_1828421764124924","video","Yum.","","https://www.facebook.com/wearemitu/videos/1828421764124924/","https://scontent.xx.fbcdn.net/v/t15.0-10/p720x720/21367778_1828422114124889_8463137429321154560_n.jpg?oh=f51eb712db4a97961616c31c2d78f561&oe=5A1F9B6B","2017-09-03 19:00:00","2017-09-03","19:00","3651637","3103","27637","17193","16792","96","2","129","18","4","134","19","2","5","1","40","59","463","384","1","157","157","144","946","876","638","2590","154","2744","0","2678","4177","2531","5909","6205","5865","340","2678","2590","154","1040","2071","0.5581","1","0.9973","0.9843","0.958","0.776","0.615","0.4901","0.3475","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1405630409737397_1827984314168669","https://www.facebook.com/1405630409737397_1827984314168669","photo","Best part.","","https://www.facebook.com/wearemitu/photos/a.1405639273069844.1073741828.1405630409737397/1827984260835341/?type=3","https://scontent.xx.fbcdn.net/v/t1.0-9/p720x720/21314694_1827984260835341_3383657059533322327_n.jpg?oh=4e7aca3d4c10b8c3bd72a8707e9af636&oe=5A1AD1C9","2017-09-03 18:00:01","2017-09-03","18:00","3651637","3103","657381","456838","356922","98975","881","10101","1825","1447","12455","1842","566","2354","17","21","2151","0","4069","22","15744","15744","13979","6241","17083","13519","0","1","1","0","1","0","1","0","2","1","1","1","0","1","1","1","0.5","0.5","0.5","0.5","0.5","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0"
"1405630409737397_1519845198075969","https://www.facebook.com/1405630409737397_1519845198075969","video","Baleros were never this fun","Baleros were never this fun","https://www.facebook.com/wearemitu/videos/1519845198075969/","https://scontent.xx.fbcdn.net/v/t15.0-10/p720x720/20617698_1519845221409300_6301243096596217856_n.jpg?oh=91e1ab940806ed992c66fcc6b609fe35&oe=5A1476F8","2017-09-03 15:00:00","2017-09-03","15:00","3651637","3103","1132682","722026","643638","23868","97","1552","209","152","1660","213","55","108","4","21","101","4622","36075","49","2025","2025","1875","40819","33863","29062","40758","2755","43196","317","42929","15701","16925","217641","273821","269443","4378","90144","86583","3561","53493","83950","0.9102","1","0.532","0.3779","0.3207","0.2797","0.2633","0.252","0.2439","0.2376","0.2312","0.2268","0.2229","0.2188","0.2125","0.2064","0.2049","0.203","0.2004","0.1983","0.1962","0.1945","0.1935","0.1925","0.1905","0.1887","0.187","0.1845","0.1832","0.1816","0.1808","0.1804","0.1745","0.1647","0.1601","0.1529","0.1363","0.1258","0.111","0.0859","0.0236"
"1405630409737397_1827985087501925","https://www.facebook.com/1405630409737397_1827985087501925","photo","Tragic.","","https://www.facebook.com/wearemitu/photos/a.1405639273069844.1073741828.1405630409737397/1827985014168599/?type=3","https://scontent.xx.fbcdn.net/v/t1.0-9/p720x720/21231731_1827985014168599_2730811616051349447_n.jpg?oh=be5f0ca213a2ae4545388c85246c62c2&oe=5A23F303","2017-09-03 14:00:01","2017-09-03","14:00","3651637","3103","547122","377423","350216","21686","551","2525","137","1051","2790","142","500","265","5","9","5107","0","7914","34","3983","3983","3560","13030","13754","12518","0","0","0","0","0","0","0","0","3","3","0","0","0","0","0","0","0.6667","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1405630409737397_1827984130835354","https://www.facebook.com/1405630409737397_1827984130835354","photo","Who else is watching season 3 without subtitles?","","https://www.facebook.com/wearemitu/photos/a.1405639273069844.1073741828.1405630409737397/1827984007502033/?type=3","https://scontent.xx.fbcdn.net/v/t1.0-9/p720x720/21314689_1827984007502033_1990771889244305552_n.jpg?oh=ea9950d5d578f857748b479692bbb8cf&oe=5A2133C9","2017-09-03 12:00:00","2017-09-03","12:00","3651637","3103","988542","661390","480141","172299","861","15130","2331","1799","18959","2388","938","3829","57","26","3265","0","8223","33","23146","23146","21017","11514","26843","20984","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1405630409737397_1825647624402338","https://www.facebook.com/1405630409737397_1825647624402338","link","*Updates playlist*","Fierce by mitú","https://fierce.wearemitu.com/entertainment/9-latina-edm-artists-need-end-summer-playlist/","https://scontent.xx.fbcdn.net/v/t45.1600-4/21143336_6094423553326_3670883495346962432_n.png?oh=bf1a1060326a28165c2f774037a439cd&oe=5A149CF2","2017-09-03 11:00:00","2017-09-03","11:00","3651637","3103","133052","92564","89761","210","14","129","0","17","134","0","3","5","0","710","85","0","726","14","151","151","148","1521","1376","1322","29","10","39","0","38","0","8","0","99","87","12","50","41","10","37","54","0.6479","1","0.7465","0.662","0.6479","0.5775","0.5352","0.5352","0.5352","0.5211","0.507","0.4789","0.4789","0.4789","0.4789","0.4789","0.4789","0.4507","0.3944","0.3944","0.3944","0.3944","0.3803","0.3803","0.3803","0.3803","0.3521","0.338","0.338","0.3239","0.3239","0.2817","0.1972","0.1972","0.1972","0.1831","0.1268","0.1268","0.1127","0.0986","0.0282"
"1405630409737397_1828181127482321","https://www.facebook.com/1405630409737397_1828181127482321","video","""You're not gonna trick us and feed us gerbil are you?""","Bad Hombres","https://www.facebook.com/WeAreBadHombres/videos/290256014791899/","https://scontent.xx.fbcdn.net/v/t15.0-10/p720x720/21367729_290256031458564_3295684966368673792_n.jpg?oh=b67c0effd2f64e86a0f25dd4288e83f1&oe=5A6085F1","2017-09-03 10:00:06","2017-09-03","10:00","3651637","3103","1614013","966528","925744","28335","359","1403","0","734","1493","0","375","90","0","98","68","0","57713","55","2227","2227","1887","57879","46434","44376","0","0","0","0","0","0","0","189651","185699","179150","6549","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1405630409737397_1826870277613406","https://www.facebook.com/1405630409737397_1826870277613406","link","Some of the money to build it could come out of the Federal Emergency Management Agency (FEMA) fund.","U.S. Customs And Border Protection Is Already Building Prototypes Of The U.S.-Mexico Wall In San Diego","https://wearemitu.com/things-that-matter/this-is-what-the-border-wall-between-the-u-s-and-mexico-will-look-like/","https://scontent.xx.fbcdn.net/v/t45.1600-4/21143272_6094592737326_648129991103479808_n.png?oh=cd562f23136acf895d2f0cae0bea8cbe&oe=5A505D81","2017-09-03 09:00:00","2017-09-03","09:00","3651637","3103","440264","318945","307873","7037","47","534","86","91","597","88","44","63","2","3966","38","0","3805","17","776","776","724","7809","6922","6603","2","2","4","0","4","0","1","0","12","10","2","6","4","2","3","6","0.6667","1","1","1","0.8889","0.8889","0.8889","0.7778","0.7778","0.6667","0.6667","0.6667","0.6667","0.6667","0.6667","0.5556","0.5556","0.5556","0.5556","0.5556","0.5556","0.5556","0.5556","0.5556","0.5556","0.5556","0.5556","0.4444","0.3333","0.3333","0.3333","0.3333","0.3333","0.3333","0.4444","0.4444","0.3333","0.1111","0.1111","0.1111","0.1111"
