"status_id","permalink","post_type","sharetext","headline","link","full_picture","created_time","date","hour","page_total_likes","page_new_likes","post_impressions","post_reach","post_reach_fan_unique","post_reach_viral_unique","comments_on_post","likes_on_post","shares_on_post","total_comments","total_likes","total_shares","comments_on_shares","likes_on_shares","shares_on_shares","link_clicks","photo_view","video_play","other_clicks","post_negative_feedback","post_story_adds","post_stories","post_storytellers","post_consumptions","post_engaged_users","post_engaged_fan","post_video_complete_views_30s_autoplayed","post_video_complete_views_30s_clicked_to_play","post_video_complete_views_30s_organic","post_video_complete_views_30s_paid","post_video_complete_views_30s_unique","post_video_avg_time_watched","post_video_complete_views_organic_unique","post_video_length","post_video_views","post_video_views_autoplayed","post_video_views_clicked_to_play","post_video_views_10s_unique","post_video_views_10s_autoplayed","post_video_views_10s_clicked_to_play","post_video_views_10s_sound_on","post_video_views_sound_on","s0","s1","s2","s3","s4","s5","s6","s7","s8","s9","s10","s11","s12","s13","s14","s15","s16","s17","s18","s19","s20","s21","s22","s23","s24","s25","s26","s27","s28","s29","s30","s31","s32","s33","s34","s35","s36","s37","s38","s39","s40"
"150424302108405_281089739041860","https://www.facebook.com/150424302108405_281089739041860","link","He literally came up with this idea while on the toilet.","This Artist Started Fúchila Fresheners As A Joke Now It's A Full On Business","https://wearemitu.com/bad-hombres/this-artist-started-fuchila-fresheners-as-a-joke-now-its-a-full-on-business/","https://external.xx.fbcdn.net/safe_image.php?d=AQB4-PjfoTyXuwh7&url=https%3A%2F%2Fdd2d9j2i66w9u.cloudfront.net%2Fwp-content%2Fuploads%2F2017%2F08%2F09114038%2FFuchilaFreshenersImage.jpg&_nc_hash=AQA0pEYBDalbkdJN","2017-08-09 16:00:00","2017-08-09","16:00","179713","263","262812","185704","12024","178816","6","134","183","185","2249","185","179","2115","2","4331","50","0","2319","2","2619","2619","2319","6700","7105","646","7","1","8","0","8","0","8","0","28","25","3","13","11","2","7","13","0.7857","1","0.9643","0.9643","0.8929","0.8571","0.75","0.6786","0.6071","0.5714","0.5","0.4643","0.4643","0.3929","0.3571","0.2857","0.2857","","","","","","","","","","","","","","","","","","","","","","","",""
"150424302108405_280779639072870","https://www.facebook.com/150424302108405_280779639072870","video","Catch me on the next FIFA!","","https://www.facebook.com/WeAreBadHombres/videos/280779639072870/","https://scontent.xx.fbcdn.net/v/t15.0-10/p720x720/20730823_280779849072849_2603912652929368064_n.jpg?oh=877acaad26b554bacc521127c81246b6&oe=59EC2C35","2017-08-09 10:00:00","2017-08-09","10:00","179713","263","518659","347242","18428","341634","191","356","653","1141","4102","657","950","3746","4","54","26","5343","10557","14","5900","5900","5326","15980","14126","1048","18480","1682","20162","0","19202","5408","20152","14803","124534","119476","5058","43707","40747","3074","10672","22206","0.535","1","0.9984","0.9924","0.9322","0.8193","0.6486","0.5597","0.5163","0.4881","0.4422","0.326","0.238","0.2043","0.1877","0.1713","0.1093","","","","","","","","","","","","","","","","","","","","","","","",""
"150424302108405_280742799076554","https://www.facebook.com/150424302108405_280742799076554","link","She really just said, ‘Si no me vas a dar nietos, yo voy a rentar uno.'","This Conversation Between A Son And His Mom Is Way Too Real For Every Guy Who Is In His Late 20s And Single","https://wearemitu.com/bad-hombres/this-conversation-between-a-son-and-his-mom-is-way-too-real-for-every-guy-who-is-in-his-late-20s-and-single/","https://external.xx.fbcdn.net/safe_image.php?d=AQCQ_aAcY1jRnQfP&url=https%3A%2F%2Fdd2d9j2i66w9u.cloudfront.net%2Fwp-content%2Fuploads%2F2017%2F08%2F08090256%2Fmomson-hero.jpg&_nc_hash=AQC4djO-0deEXnF3","2017-08-08 11:00:52","2017-08-08","11:00",NA,NA,"348230","233053","14057","224165","20","86","236","471","1547","237","451","1461","1","4590","55","0","4470","16","2255","2255","1723","9116","6772","679","1","0","1","0","1","0","0","0","2","2","0","1","1","0","1","1","1","1","1","1","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
